title,organisation,lat,lon,region
urban trapping,individual,-44.678,169.188,Otago
Spenmoor eRATication,,-41.2319,174.815,Wellington
36b Frenchay Drive Atawhai,,-41.2463,173.3257,Nelson Marlborough
Predator Free Port Hills - Woolston (www.predatorfreeporthills.org.nz),Predator Free Port Hills,-43.5568,172.6823,Canterbury
Waiinu Project,,-39.8631,174.7603,Wellington
Pest Free Moncks Bay ,,-43.567,172.7424,Canterbury
FANTAILS Pest Control,Private Section,-39.195,174.0591,Unknown
Kawaiti,Alan Rogers,-39.6031,174.4988,Unknown
John's project,John's project,-39.1254,174.0544,Unknown
Plymouth Road Traps,,-39.1229,173.9926,Unknown
Tawaiparera stream connection,,-36.7921,175.0548,Auckland
veale rd,,-39.0986,174.0748,Unknown
Rat trap at 288 Main Road North,,-41.1051,175.0988,Wellington
Puniho Pa,Puniho Pa ,-39.2072,173.8242,Unknown
Predator Free Pareraho,Pareraho Forest Trust,-41.1664,174.9189,Wellington
Pekapeka Shooters Association ,Pekapeka Shooters Association,-39.7294,176.7596,Unknown
Upper Hutt Moonshine,Forest & Bird Upper Hutt,-41.1249,175.0067,Wellington
Otatara Scenic Reserve,Otatara Pestbusters,-46.4269,168.2949,Otago
Beacon Street Trapping ,Christchurch City Council,-43.4066,172.6985,Canterbury
Wenderholm Regional Park,Wenderholm ,-36.5357,174.7079,Auckland
Matariki Forests - GLENBERVIE,NRC/RAYONIER MATARIKI ,-35.6187,174.3663,Northland
Kawakawa Road Trapping,Predator Free taupo,-38.6369,175.8747,Waikato
Spencerville Predator Control Group,Spencerville Predator Control Group,-43.4157,172.7029,Canterbury
Pest Free Olympic Park,Ecomatters Environment Trust & Volunteers,-36.909,174.6929,Auckland
Opara Landcare,Kiwi Coast,-35.4207,173.4628,Northland
Lake Karuwha Estate,Friends of Lake Karuwha,-40.7492,175.1421,Wellington
Patea Dam,Lake Rotorangi Patea Dam,-39.5434,174.5683,Wellington
Motutahae Trapping Project,Taupo-nui-a-Tia College School,-38.6789,176.0772,Waikato
Predator Free Urban Hawke's Bay,Predator Free Urban Hawke's Bay,-39.397,177.045,East Coast
Upper Waiau Toa/Clarence Trapping Project,J&S Mears Contracting,-42.4228,172.9265,Nelson Marlborough
Shelly Beach TOP 10 - Predator Free Holiday Park,Shelly Beach TOP 10 Holiday Park,-36.7372,175.4822,Auckland
Church Bay Farm Project,Church Bay Farm Ltd,-36.7943,174.9974,Auckland
"Marsden Valley Trapping Group, marsdenvtg@gmail.com contact Kathryn 0273515428 Always on the lookout  for more volunteers.",Marsden Valley Trapping Group,-41.3371,173.2725,Nelson Marlborough
Devon Intermediate School,Devon Intermediate,-39.0624,174.0529,Unknown
Springbank School,Kiwi Coast,-35.2383,173.9136,Northland
KNE Omata School,Omata School,-39.0935,174.0192,Unknown
Hurford Rd Trappers,,-39.126,174.0185,Unknown
Te Arai AC,,-36.1634,174.6439,Northland
TSB TOPEC Araheke,TSB TOPEC& DOC,-39.101,174.1216,Unknown
345 Inland road,,-36.663,174.4843,Auckland
Pest Free Fairmount ,Pest Free Fairmount,-36.9187,174.6612,Auckland
94 wharekauri road,,-38.9745,174.4679,Unknown
Mangonui School   TE WAKA KAITIAKI WHENUA,Kiwi Coast,-34.9911,173.5339,Northland
Murvale Reserve Trapping,Daltons Troopers,-36.887,174.9189,Auckland
21 Brookview Heights,,-36.026,174.3933,Northland
enviroMate 100 research ecolands farm,Eco-land Ltd,-35.1244,173.7551,Northland
Dragonfly Springs ,Dragonfly Springs,-35.7602,174.3644,Northland
LAKE ROTOMA-LAKE ROTOEHU COMMUNITY ASSOCIATION PEST-CONTROL PROGRAMME,LAKE ROTOMA-LAKE ROTOEHU COMMUNITY ASSOCIATION (Inc),-38.0455,176.5782,Bay of Plenty
Mahurangi East ,Local enthusiasts,-36.4437,174.737,Northland
Pakaraka School  TE WAKA KAITIAKI WHENUA,Kiwi Coast,-35.3562,173.9577,Northland
Oruaiti School TE WAKA KAITIAKI WHENUA,Kiwi Coast,-35.0035,173.5885,Northland
Horeke School TE WAKA KAITIAKI WHENUA,Kiwi Coast,-35.3601,173.5796,Northland
Waima School  TE WAKA KAITIAKI WHENUA,Kiwi Coast,-35.4893,173.5867,Northland
Pirongia Mustelid Muster,Pirongia Te Aroaro o Kahu Restoration Society,-37.9843,175.1354,Waikato
William St,,-39.0826,174.1103,Unknown
Brookfield Predator Free,Brookfield Outdoor Education Centre (ScoutsNZ),-41.2247,174.9888,Wellington
Hillary Hope Nth Block,Jon Thompson,-37.8302,175.0556,Waikato
Onekura-Puketotara Trappers,Puketotara Landcare,-35.1781,173.8551,Northland
Mokau Reserve Northland,Native Forest Restoration Trust,-35.1761,173.7449,Northland
Kauri Landcare Group,Fonterra,-35.6361,174.3061,Northland
EICTTrust,EICT,-41.0711,174.1772,Nelson Marlborough
Rangatiratanga,Rainbow Springs ,-38.1083,176.2208,Waikato
WBOPDC - Pine Block,Lund Road Pest Control Group,-37.6169,175.8863,Waikato
Gibbston Valley Vineyard Monitoring,GibbstonValley,-45.0123,168.9196,Otago
Frankley School Predator Free Project,Frankley School,-39.0899,174.0576,Unknown
KAV,,-39.2856,174.2589,Unknown
Pestless Waiheke,Waiheke Primary School,-36.7905,175.0528,Auckland
Rosebank Peninsula: Area 1,Whau River Catchment Trust ,-36.8696,174.6675,Auckland
Kings Rock Track Mahaka 2024 -,Papatowai Forest Heritage Trust,-46.5742,169.4715,Southland
Pōkai o Ngāti Manu ,"Pōkai o Ngāti Manu Trust, Pōkai o Ngāti Manu Kaitiaki Indigenous Biodiversity ",-35.3816,174.1975,Northland
Cam's backyard,,-36.3402,174.7578,Northland
Wahine Toa,Gosling Grove Residents,-38.9835,175.8214,Unknown
East bay biodiversity enhancement ,East Bay Conservation Society,-41.1823,174.3387,Nelson Marlborough
Otipua Wetlands,Ara,-44.4213,171.2435,West Coast
Protect Karangahake Pest Free,Protect Karangahake,-37.4377,175.7318,Waikato
Te Rau Pūriri,Auckland Council,-36.484,174.2613,Northland
Sunny Heights,The Plant People,-36.5749,174.676,Auckland
The Plantation,Erin Farrow,-35.6122,174.4817,Northland
Coro possum,,-36.771,175.5132,Auckland
Oraka Drift Bay,Lakeside Home Owners Association,-45.099,168.7531,Otago
W.E.T.A,WETA Waipara Environmental Trapping Association ,-43.0848,172.8197,Canterbury
Waireka Road East,Waireka Neigbours,-39.0908,174.0156,Unknown
KNE Lowe East,TRC,-39.2283,174.5492,Unknown
The C.R.E.S.T,Predator Free Franklin,-37.1243,174.791,Auckland
120 Upland Rd,,-37.6393,175.9089,Waikato
Sunkist Bay,,-36.8798,174.9956,Auckland
Chico Biodiversity,,-36.7382,175.4906,Auckland
Predator Free Horokiwi,Horokiwi Residents,-41.2077,174.851,Wellington
Pouakai cabins,,-39.2027,174.0546,Unknown
Marton School Room 4,Marton School,-40.0712,175.3801,Wellington
Cooper road Kiwi,Private,-37.1797,174.6613,Auckland
Moonshine hill road,none,-41.0932,174.9929,Wellington
South Taranaki Kaitiakitanga,Surgenor whanau,-39.5902,174.2617,Unknown
Stonefields Wetlands ,Stonefields Residents Association ,-36.8906,174.8385,Auckland
Makara Peak Podocarp Monitoring,Makara Peak Supporters,-41.2943,174.711,Wellington
The Braigh CPCA,The Braigh  Community  Pest  Control Area  and Northland regional Council ,-36.03,174.3893,Northland
Beckenham Predator Free,Beckenham Predator Free - https://www.trap.nz/project/1544501/info,-43.5634,172.6429,Canterbury
12 Head St,,-43.5737,172.7672,Canterbury
Cracroft Predator Free,Cracroft Predator Free - https://www.trap.nz/project/1548501/info,-43.587,172.6175,Canterbury
Waiheke High School,Waiheke HIgh School,-36.8003,175.0276,Auckland
Upper Hutt Kingsley Heights + Maidstone,Forest & Bird Upper Hutt,-41.1269,175.0787,Wellington
Love Coro,,-36.7847,175.5215,Auckland
"Rat Free Dignan St Gardens, Pt Chevalier","Dignan St Community Gardens, Point Chevalier",-36.8593,174.7039,Auckland
Smart Road Trappers,,-39.0636,174.1163,Unknown
"Blue Penguin, Rangitane river",Emma & Jason,-35.1966,173.9842,Northland
Te Hoe Bush Restoration Project,Allen Family Trust,-37.4741,175.3372,Auckland
Matawaia Marae,Matawaia Marae,-35.4936,173.9596,Northland
The Gate Pest Control,,-40.8609,175.2279,Wellington
Lincoln Wetlands,Lincoln Envirotown Trust,-43.6509,172.4998,Canterbury
Lynmore School Trappers,Lynmore Primary School,-38.1494,176.2876,Waikato
Karetu School,Kiwi Coast,-35.3739,174.1523,Northland
Whakarewarewa Pest Free,Whakarewarewa Pest Free,-38.1843,176.2919,Waikato
Redwood backyard ,Redwood,-43.4819,172.626,Canterbury
Haumoana School,Haumoana School,-39.6256,176.9511,Unknown
Halo Project,Halo Project,-45.7644,170.4913,Otago
Uruti School,Uruti School,-38.9453,174.5295,Unknown
Blue Rata Reserve,Coastal Area School supported by DOC/TMP,-39.2466,173.934,Unknown
Will's traps,Community,-35.77,174.5299,Northland
Lower Cashmere Predator Free,Lower Cashmere Predator Free,-43.5684,172.6198,Canterbury
Wetlands,Private,-35.7951,174.2419,Northland
Teal Bay pest free 2050,Teal Bay Rate Payer and Resident Association,-35.4369,174.364,Northland
SunnysideCoatesville,,-36.7039,174.6272,Auckland
Mahoe Reserve Lincoln,Lincoln Envirotown Trust,-43.6341,172.4869,Canterbury
Mt Hutt Kea and Falcon Protection Project,Mt Hutt Ski Area,-43.5258,171.5455,West Coast
90 Musson Drive,,-36.8117,175.0716,Auckland
Somerfield Predator Free,Somerfield Predator Free - public link: https://www.trap.nz/project/1582893/info,-43.5603,172.6264,Canterbury
Papatowai Stoat Traps,,-46.5548,169.4847,Southland
Tara iti Ecological Sanctuary,Tara Iti Ecological Sanctuary ,-36.1411,174.6248,Northland
691B Orapiu Road,,-36.8378,175.1477,Auckland
Community Trap Line / Barrytown,Coast Road Dawn Chorus,-42.2065,171.3202,West Coast
Pembroke Road Trapline,Stratford Alternative Ed & TMP,-39.3216,174.1821,Unknown
Plympton Street Project,Private,-39.0714,174.0796,Unknown
Riverstream Drive,,-35.1955,173.9031,Northland
Pupuke Birdsong Project - Lyford Reserve,Sunnynook Community Association,-36.7509,174.7422,Auckland
Eric Armishaw Reserve,Forest & Bird,-36.8684,174.6976,Auckland
Frankton Track - Queenstown,Wakatipu Wildlife Trust,-45.0307,168.6987,Otago
GHATL,GHATL,-39.1292,174.09,Unknown
BHCT Buffer ,Bream Head Trust ,-35.8451,174.5569,Northland
Wellington Botanic Garden,Wellington City Council,-41.2828,174.7668,Wellington
Hardie Road Pest Control,Tiakina Whangarei,-35.6714,174.3458,Northland
Lets Restore Highlands Park!,,-39.0823,174.1045,Unknown
Longbush Trappers,,-41.1868,175.5871,Wellington
Kelson School EnviroClub,Kelson School,-41.1167,174.9922,Wellington
Hukerenui CPCA,Farmer led pest control project to protect kiwi supported by NRC and Living Water,-35.543,174.1945,Northland
Pest Free Pt Chevalier,Pest Free Pt Chevalier,-36.8641,174.7065,Auckland
George Point Road,More tuisong,-35.7474,174.3559,Northland
TPFT - Hangatahua,TRC,-39.2869,173.8424,Unknown
Mahia Backyard Trappers,,-39.151,177.8991,East Coast
Mystery Creek 2050,NZ National Fieldays Society,-37.8701,175.3634,Waikato
Tutaenui Dams ,Tutaenui Stream Restoration Society,-39.9951,175.3915,Wellington
Ruakaka North Trappers,Bream Bay Coast Care NZFTCT NRC ,-35.8964,174.4609,Northland
Jacks Point,Clive Geddes,-45.072,168.7404,Otago
298 Otonga-Marua Rd,J G Craig & T L Dunlop,-35.5524,174.3264,Northland
Restore Waireka,Corteva Agriscience,-39.0872,174.0051,Unknown
Predator Free Opawaho-Waltham/Sydenham,Predator Free Opawaho,-43.5521,172.6453,Canterbury
Block 1,,-35.8774,174.334,Northland
He Kākano Community Nursery,Whitebait Connection,-35.7259,174.3157,Northland
Gentle Annie,Buller Conservation Volunteers Trust,-41.5186,171.9424,West Coast
Gentle Annie A24s,Gentle Annie,-41.5185,171.9429,West Coast
Blaketown Wilderness Trail,,-42.4521,171.191,West Coast
Predator Free Wainuiomata-Parkway,Predator Free Wainuiomata,-41.2543,174.9302,Wellington
Glenbervie Landcare,Glenbervie Landcare,-35.6563,174.3755,Northland
Taylors Mistake Trappers,Taylors Mistake Residents,-43.5817,172.7746,Canterbury
Ngā Kaitārore ki Pito One,,-41.2227,174.887,Wellington
TPFT - Peri-Urban,Taranaki Regional Council,-39.086,174.1006,Unknown
TPFT - Kaitake Zero,Taranaki Regional Council,-39.1654,173.9255,Unknown
PF Northland Reserves,PF Northland ,-41.2784,174.7588,Wellington
TPFT - Waiaua,Taranaki Regional Council,-39.4499,173.9585,Unknown
TPFT - Maunga,Taranaki Regional Council,-39.2904,174.0542,Unknown
Kaitaia Int School TE WAKA KAITIAKI WHENUA,Kiwi Coast,-35.1035,173.257,Northland
Demo Project,GroundTruth Limited,-40.9838,174.9546,Wellington
PEST FREE SUMMERHILL,Palmerston North City Council,-40.3814,175.6326,Wellington
Orakei Pest Trap,Resident Control,-36.8516,174.8257,Auckland
Pest free Fairlea,,-36.8679,174.6492,Auckland
Pan Pac Mohaka ,Pan Pac ,-39.07,176.8827,East Coast
Pipers reserve and halo,Pipers halo trapping group,-41.2859,173.2578,Nelson Marlborough
Ruby Bay Heights,Private individual,-41.2302,173.0748,Nelson Marlborough
Kingswood,,-35.7316,174.2117,Northland
Kaimata School,Kaimata School,-39.1612,174.2915,Unknown
Mimitangiatua School,Mimitangiatua School,-38.9704,174.4497,Unknown
Possum Free Peninsula,Predator Free Dunedin,-45.8558,170.6626,Otago
Anns Project,,-35.6309,174.4969,Northland
KNE Lowe North,TRC,-39.2186,174.5381,Unknown
Predator Free Wainuiomata-Fernlea,Wainuiomata Natural Heritage Trust,-41.2617,174.9352,Wellington
Predator Free Wainuiomata-Arakura,Wainuiomata Natural Heritage Trust,-41.2369,174.9443,Wellington
Predator Free Wainuiomata-Glendale,Wainuiomata Natural Heritage Trust,-41.2399,174.9531,Wellington
Predator Free Wainuiomata-Homedale,Wainuiomata Natural Heritage Trust,-41.2735,174.9549,Wellington
Predator Free Wainuiomata-Coast Road,Wainuiomata Natural Heritage Trust,-41.3383,174.919,Wellington
Predator Free Wainuiomata-Moores Valley,Wainuiomata Natural Heritage Trust,-41.2526,174.9803,Wellington
Predator Free Wainuiomata-Wainuiomata School,Wainuiomata Natural Heritage Trust,-41.2748,174.9558,Wellington
Pest Free Ngaio Road,Pest Free Ngaio Road,-36.9406,174.6403,Auckland
Predator Free Wainuiomata-Wainuiomata High School,Wainuiomata Natural Heritage Trust,-41.2532,174.9376,Wellington
Junction Road Pest Free Initiative,Todd Generation,-39.1183,174.1093,Unknown
Oakley Creek Te Auaunga,Friends of Oakley Creek Te Auaunga Inc.,-36.8838,174.7041,Auckland
malt company road / hunters house ,hunter shnnon,-40.0894,175.398,Wellington
Summit Upokorau,,-35.1438,173.8686,Northland
Whakatipu Mahia Backyard Trapping,Whakatipu Mahia,-39.1334,177.8911,East Coast
possum trapping ,apiti possum control,-39.963,175.913,Wellington
DCCG,Donnellys Crossing Community Group,-35.7115,173.6186,Northland
Ngati Ira Kaimahi Whenua Roopu,,-38.2084,177.2877,Bay of Plenty
Maunu Cemetery Predator Program,Whangarei District Council,-35.7468,174.2592,Northland
Marty Plowman,BOI Pest Management,-35.1981,173.9915,Northland
Pete Shepherd,,-37.0663,174.579,Auckland
Upper Junction Trapping Project,Private individual trapping project,-45.8318,170.5685,Otago
Predator Free Waipawa,Waipawa Community,-39.9356,176.597,Unknown
"enviroMate 100 ""givealittle"" Puketi Forest : completed",Eco-land Ltd,-35.2008,173.7381,Northland
" Mangakino Lane, Kauri",Private,-35.6638,174.3198,Northland
Trap trap,Private ,-35.7186,174.3544,Northland
ratathon,heta road - london tce,-39.0746,174.098,Unknown
Indian Island,Pure Salt NZ,-45.7788,166.5865,Southland
TPFT - Waiwhakaiho,Taranaki Regional Council,-39.1402,174.1366,Unknown
Blaketown School Trapping,Blaketown School,-42.4519,171.1921,West Coast
Te Ara o Tāiko,Conservation Volunteers NZ Punakaiki,-42.1412,171.3304,West Coast
PF Waikuku,PF Waikuku,-43.2904,172.6968,Canterbury
Predator Free Koraunui Stokes Valley,Predator Free Koraunui Stokes Valley,-41.1776,174.9838,Wellington
Riverview Place Trappers,Riverview Place ( and interested parties) Residents,-35.9921,174.469,Northland
Whangaruru School,Whangaruru School,-35.3783,174.317,Northland
the Wild Waitomo Team trapping project,the Wild Waitomo team,-38.353,175.0533,Waikato
Frank Frethey Place NP,Private household,-39.0743,174.0997,Unknown
Ministry of Trapping,Rodgers Ministry of Trapping,-36.8728,174.5556,Auckland
Predator Free Churton Park Reserves,PF Churton Park,-41.2053,174.8072,Wellington
Lake Brunner School Trapping ,Lake Brunner School,-42.5735,171.4715,West Coast
"Friends of Studholme Bush Scenic Reserve, Waimate.","Friends of Studholme Bush, Waimate",-44.7589,171.0093,Otago
OME project,Oruawharo Medlands Ecovision,-36.2785,175.4892,Unknown
Platts Mills Reserve,Friends of Platts Mills Reserve,-36.8835,175.0389,Auckland
Waiuku South,,-37.2652,174.7475,Auckland
Waihou River Bank,Dennley Farms Ltd,-37.9121,175.7988,Waikato
Waiwhetu Predator Free,Polytrappers (Open Polytechnic),-41.225,174.9298,Wellington
Te Miro School,Te Miro School,-37.8039,175.551,Waikato
229 Devich Rd,Howard Esler,-36.1479,174.5538,Northland
Mt Iron - PFW,Predator Free Wānaka,-44.6904,169.1651,Otago
Alpine Retreat Trapping Group (Moke Lake Rd.),Alpine Retreat Trapping Group,-45.0435,168.5963,Otago
Friends of Maungauika,TMA - Maungauika,-36.8275,174.8121,Auckland
Kina Bird Song,Kina Bird Song ,-41.1863,173.0358,Nelson Marlborough
Tucker Beach Wildlife Management ,Tucker Beach Wildlife Management,-44.9881,168.7451,Otago
Clearwater ,,-39.1761,174.0422,Unknown
NRC Flyger Road Nursery,,-35.8678,174.4228,Northland
Rat Pack South Torea Street,South Torea Street Water Society ,-41.6312,171.8537,West Coast
Birch Hill Station,Birch Hill Station,-40.2492,176.4494,Wellington
Green up Onehunga,,-36.9216,174.7851,Auckland
Rotary Predator Free Wellington Waterfront,Port Nicholson Rotary Club,-41.2878,174.7813,Wellington
Predator Free Ponsonby,Predator Free Ponsonby,-36.8508,174.7311,Auckland
Bunty,,-38.1707,176.2465,Waikato
North Harbour Custodians,North Harbour Custodians,-36.4062,174.8377,Unknown
Methanex  KNE  . Waitara valley ,Bushguard Pest Service ,-39.0243,174.2425,Unknown
Baldrock Trappers,Piroa-Brynderwyns Landcare,-36.1185,174.4746,Northland
Waiuku Mudlarks,Mudlarks,-37.2408,174.7327,Auckland
RestoreHB - Long Bay - Awaruaika Wetland East,Auckland Council,-36.683,174.7414,Auckland
Miranda Bio Area,,-37.1901,175.291,Auckland
Tokomaru Bay,Chris Beard,-38.1354,178.3163,East Coast
Home kill,Havelock North resident,-39.6743,176.8738,Unknown
Trelinnoe Station 2018 Ltd,Trelinnoe Station (2018) Ltd,-39.2916,176.7566,East Coast
Waterview Street,Restoring Takarunga Hauraki ,-36.8242,174.7863,Auckland
Fort Takapuna,Restoring Takarunga Hauraki ,-36.8152,174.8057,Auckland
Bayswater School,Restoring Takarunga Hauraki ,-36.8099,174.7888,Auckland
traps,Club Member,-41.1208,174.9428,Wellington
Predator Free Prebbleton,,-43.5803,172.5079,Canterbury
Phillip Street Rodent Control,Awatoto Residents,-39.5366,176.9181,Unknown
One Mile Basin,One Mile Basin group,-45.0211,168.6302,Otago
Save the Waihola Birds.,Private,-46.0209,170.1006,Otago
Awhitu Regional Park,Awhitu Regional Park,-37.0946,174.6516,Auckland
Kohenui,,-40.9435,175.005,Wellington
Protect Manukorihi,Manukorihi School,-38.9994,174.2422,Unknown
Ohinetahi,Summit Road Society,-43.6305,172.6324,Canterbury
Daniel's Bush,Private - QE2 covenant,-41.2637,174.9856,Wellington
164 Pungaere Road,Puketotara Landcare,-35.1958,173.8983,Northland
Waitangi - Haruru Walkway,Kiwi Coast,-35.266,174.0644,Northland
Taumata,,-35.6903,174.357,Northland
woolley ave ,,-36.921,174.681,Auckland
PF Grey Lynn,Urban Ark - Manawa Taiao,-36.8616,174.7391,Auckland
Purangi Conservation Trust,Purangi Conservation Trust,-36.8724,175.7683,Unknown
Onerahi Buffer - Friends of Matakohe-Limestone Island,Friends of Matakohe-Limestone Island,-35.7736,174.3572,Northland
Kaitiaki Kiwi Waipoua,Kaitiaki Kiwi,-35.6574,173.5324,Northland
ratrafication,Very Little,-39.6687,176.8889,Unknown
Living Springs,The Cacophony Project,-43.6569,172.6406,Canterbury
Kiwi Birdlife Park ,Kiwi Birdlife Park ,-45.0274,168.657,Otago
Te Toa Whenua,Te Roroa,-35.6606,173.5066,Northland
Project Moturoa Traplines,,-41.2711,173.1488,Nelson Marlborough
PF Island Bay Tawatawa reserve,PF Island bay,-41.3326,174.7634,Wellington
Trapped,Matamata scouts,-37.8125,175.7793,Waikato
Hardwick-Smith,Taranaki Kiwi Trust,-39.4337,174.4638,Unknown
Milford Wairau Estuary,Milford Residents Association Inc,-36.7702,174.765,Auckland
LM,LM Estate Ltd,-35.2633,173.4972,Northland
HB Fish and Game - Game Farm,Hawke's Bay Fish and Game,-39.5312,176.8654,Unknown
Prospect Tce,Private,-36.8797,174.7533,Auckland
Herbert Forest Remnant Tracks,North Otago Tramping and Mountaineering Club inc.,-45.2423,170.7373,Otago
Skyline Possum trap line,WCC,-41.2528,174.7531,Wellington
Avery Road,MG Walker JM Radich,-39.4115,176.8371,East Coast
Pest Free Waterview,Urban Ark – Manawa Taiao,-36.8791,174.6989,Auckland
Tuapaka/Hutton's Covenant ,Department of Conservation,-40.8174,175.1634,Wellington
Stuart Park Traps,Stuart park restoration project,-41.108,174.8279,Wellington
Trelissick park Group,WCC,-41.2581,174.7745,Wellington
Hellyers Oruamo Project,Greenhithe Community Trust,-36.7789,174.6881,Auckland
Mapua Dawn Chorus,Tasman Environmental Trust,-41.2376,173.0774,Nelson Marlborough
Orere-Kawakawa Bay (OK) Pest Free,Predator Free Franklin,-36.9893,175.214,Auckland
Rahui Road/Hillas Covenant,Department of Conservation ,-40.7775,175.181,Wellington
I'Anson Bush Reserve animal pests,Friends of I'Anson Bush Reserve,-37.6932,176.0652,Waikato
Mansell's Bush Covenant,Department of Conservation,-40.8139,175.1819,Wellington
Friends of Te Wairoa,Friends of Te Wairoa,-37.0391,175.0768,Auckland
Mangamingi Bush Reserve,Predator control provided by Mangamingi Community Trust,-39.415,174.4553,Unknown
Jackett Island,,-41.1488,173.0302,Nelson Marlborough
NZ High Performance Sport,New Zealand High Performance Sport,-36.7422,174.7331,Auckland
Pokeno Pestbusters,Bluff Road Conservation Group,-37.255,175.0115,Auckland
Hooters,Hooters Bird Recovery Center,-37.2403,174.7977,Auckland
Putiki Penninsula Pest Project,Neighbourhood community group NETR funded,-36.801,175.0375,Auckland
Predator Free Te Kinga - Rerenga ki taonga o nga manu ki Kotuku Moana,West Coast Regional Council,-42.6404,171.5134,West Coast
Whau Valley Landcare Group Inc 2024 and 2025,,-35.705,174.2929,Northland
Friends of Haulashore Island,Friends of Haulashore Island,-41.2673,173.2579,Nelson Marlborough
Mārahau Halo Project ,Mārahau Halo Project,-40.9941,172.993,Nelson Marlborough
Kaitiaki Manu (Skyline),Skyline,-45.0289,168.6468,Otago
Pest Free Rangiriri,Pest Free Rangiriri,-37.1409,174.6522,Auckland
Pumpkin Hill,,-36.9721,175.8457,Unknown
Double Bridges Opaki,Private,-40.875,175.66,Wellington
Onion Road Hamilton,Onion Road Predator Free,-37.7215,175.1913,Waikato
Scott's Landing pest control,,-36.4797,174.7306,Northland
Rangikapiti,Friends of Rangikapiti Incorporated Society,-34.9847,173.5246,Northland
E hoa ma o Ohuiarangi,E hoa ma o Ohuiarangi,-36.8897,174.9019,Auckland
Pukewhau Bulls Gorge Kerikeri,Kiwi Coast,-35.2693,173.9637,Northland
Oruawharo Bay Pest Control,Oruawharo Medlands Ecovision,-36.2712,175.4938,Unknown
Anderson Park Pest Control Project,Anderson House Trust,-46.3613,168.3603,Otago
Houto Trapping Project ,PF Olsen and Hollioak Forestry,-35.7644,174.0213,Northland
346 Lockington Road Trapping (Aongatete),346 Lockington Road Residents,-37.6228,175.9076,Waikato
Takahue Saddle Project,Takahue Saddle Collective,-35.2207,173.3759,Northland
Jacks Bay,Coster Jacks Bay Trust,-46.4964,169.7063,Otago
Sandspit Road Project,,-36.3957,174.6915,Northland
Cape Foulwind,,-41.7561,171.4631,West Coast
Yeats,,-37.7692,175.2901,Waikato
Grovetown Lagoon,Te Whanau Hou,-41.474,173.9804,Nelson Marlborough
Mangorie Stream rat trapping,Burgess Hill Pets Motel,-39.1012,174.1108,Unknown
Lower Mataura,Environment Southland,-46.546,168.7602,Southland
Kowhairoa,Te Komanga Marae Trust,-35.0008,173.7393,Northland
Catlins Bats on Maps,Forest and Bird Society,-46.4885,169.3475,Otago
Craigmore Horticulture Kerikeri,Kiwi Coast,-35.26,173.899,Northland
Onukutara Gully,,-37.7578,175.2909,Waikato
Predator Free Gibbston,Gibbston Community Association,-45.0289,168.9486,Otago
Long Bay Regional Park (100 Acre Block),Friends of Long Bay,-36.6749,174.7438,Auckland
Whenuapai Predator Free,Living Whenuapai Charitable Trust,-36.7899,174.6228,Auckland
Pest Free Fruitvale,Fruitvale road and neighbours trapping ,-36.9121,174.6677,Auckland
Traps,,-39.138,173.9106,Unknown
Evansdale Community Project,Evansdale Community Group ,-45.7245,170.5544,Otago
Predator Free Karaka,Karaka Rate Payers Association,-37.1079,174.8771,Auckland
Totara Tunnel Trappers,,-40.8043,175.1804,Wellington
austin trap,McGrath Fam,-39.5436,174.3087,Unknown
Waiotemarama Community Trapping Project,Waiotemarama Community Trapping ,-35.5336,173.4311,Northland
Titoki Pest Control ,,-35.7475,174.0606,Northland
Honey House Riparian Strip ,The Honey House Team ,-41.2261,173.3425,Nelson Marlborough
Poukawa PCA,Baytrap ltd,-39.773,176.7345,Unknown
Pleasant Valley PCA,Baytrap ltd,-39.92,176.2691,Wellington
Motorua PCA,Baytrap ltd,-39.8693,176.6674,Unknown
Te Onepu PCA,Baytrap Ltd,-39.8241,176.587,Unknown
OngaOnga PCA,Baytrap ltd,-39.8786,176.3417,Wellington
Pukenui PCA,Baytrap ltd,-39.9811,176.2575,Wellington
Pukawa Trapping Network,Pukawa Wildlife Management Trap,-38.9181,175.7499,Unknown
Taupo Scouts Lake Front trapping Project,Taupo Scouts and Predator Free Taupo,-38.7296,176.0701,Unknown
Kaitiaki Trap N Train,,-37.756,175.7569,Waikato
Trap area 1,Jenny and Glen Oakley,-39.553,174.0616,Unknown
Trap area 2,Jenny and Glen Oakley,-39.5626,174.0563,Unknown
Ngunguru Ford Trapperz,,-35.6605,174.4561,Northland
Predator Free Merivale - Kō te ata,,-43.5175,172.6163,Canterbury
Te Ranga PCA,Baytrap Ltd,-39.6986,176.5279,Unknown
Waytemore Farms ,Waytemore Farms ,-37.1438,175.1076,Auckland
Raukawa PCA,Baytrap ltd,-39.7232,176.6839,Unknown
Ratapiko School,Ratapiko School,-39.2004,174.3218,Unknown
Surf Highway,,-39.2933,173.8055,Unknown
Te Tangi o te ata,,-35.2365,174.2595,Northland
Nukuhau Gullies,Predator free taupo,-38.6809,176.0549,Waikato
Pine Valley Predator Control,,-36.6217,174.6309,Auckland
White Hill Windfarm,Meridian Energy Ltd.,-45.7393,168.2483,Otago
Pest Free Greenhithe,Greenhithe Community Trust,-36.7715,174.6846,Auckland
Kearney Barrier,Kiwicoast,-35.2482,173.8516,Northland
Bulls rd Pokaka,Kiwicoast,-35.2688,173.9383,Northland
Glenesk Wedge,Property Owner,-36.9533,174.4817,Auckland
